@relation sentiment_lexicon_based_relation

@attribute Positiv numeric
@attribute Negativ numeric
@attribute Hostile numeric
@attribute Pleasur numeric
@attribute Pain numeric
@attribute review_class {ndef,neg,pos}

@data
0.0625,0,0.5,0.375,0.0625,neg
0.071429,0,0.642857,0.285714,0,neg
0,0.043478,0.434783,0.347826,0.173913,neg
0.125,0.125,0.1875,0.5625,0,neg
0,0,0.466667,0.333333,0.2,neg
0.0625,0,0.5625,0.3125,0.0625,neg
0,0,0.304348,0.434783,0.26087,neg
0,0,0.485714,0.485714,0.028571,neg
0.03125,0,0.4375,0.375,0.15625,neg
0,0,0.411765,0.588235,0,neg
0,0.081081,0.459459,0.297297,0.162162,neg
0.105263,0,0.421053,0.421053,0.052632,neg
0.029412,0.058824,0.5,0.323529,0.088235,neg
0.105263,0,0.473684,0.368421,0.052632,neg
0.066667,0,0.333333,0.533333,0.066667,neg
0.055556,0.055556,0.388889,0.444444,0.055556,neg
0.111111,0,0.333333,0.388889,0.166667,neg
0,0.230769,0.384615,0.230769,0.153846,neg
0,0.076923,0.384615,0.461538,0.076923,neg
0,0,0.5,0.333333,0.166667,neg
0,0.021739,0.26087,0.630435,0.086957,neg
0,0,0.5,0.5,0,neg
0,0.047619,0.619048,0.190476,0.142857,neg
0,0.055556,0.5,0.277778,0.166667,neg
0.043478,0.043478,0.608696,0.130435,0.173913,neg
0,0,0.4,0.2,0.4,neg
0,0,0.545455,0.454545,0,neg
0.045455,0.045455,0.318182,0.5,0.090909,neg
0,0,0.565217,0.304348,0.130435,neg
0,0.03125,0.46875,0.34375,0.15625,neg
0,0.043478,0.521739,0.23913,0.195652,neg
0.071429,0.071429,0.357143,0.5,0,neg
0,0,0.65,0.25,0.1,neg
0.030303,0.121212,0.424242,0.333333,0.090909,neg
0,0,0.45,0.3,0.25,neg
0,0.05,0.5,0.4,0.05,neg
0.066667,0,0.333333,0.533333,0.066667,neg
0.090909,0.045455,0.318182,0.454545,0.090909,neg
0.1875,0,0.1875,0.625,0,neg
0.081081,0.027027,0.297297,0.540541,0.054054,neg
0.054054,0,0.351351,0.405405,0.189189,neg
0,0,0.44,0.32,0.24,neg
0,0,0.583333,0.333333,0.083333,neg
0.135135,0.027027,0.324324,0.432432,0.081081,neg
0.058824,0,0.705882,0.235294,0,neg
0.047619,0,0.619048,0.142857,0.190476,neg
0.052632,0,0.631579,0.157895,0.157895,neg
0.114286,0.057143,0.4,0.4,0.028571,neg
0,0,0.35,0.6,0.05,neg
0,0,0.153846,0.769231,0.076923,neg
0.090909,0,0.272727,0.545455,0.090909,neg
0,0.037037,0.444444,0.518519,0,neg
0.111111,0.055556,0.333333,0.5,0,neg
0.166667,0,0.333333,0.5,0,neg
0,0,0.458333,0.5,0.041667,neg
0.115385,0.038462,0.423077,0.269231,0.153846,neg
0.128205,0.025641,0.230769,0.589744,0.025641,neg
0.038462,0.076923,0.384615,0.423077,0.076923,neg
0,0,0.769231,0.230769,0,neg
0,0,0.6,0.2,0.2,neg
0,0.117647,0.235294,0.529412,0.117647,neg
0.083333,0,0.555556,0.277778,0.083333,neg
0.2,0,0.2,0.6,0,neg
0.047619,0,0.47619,0.285714,0.190476,neg
0.028571,0.028571,0.457143,0.371429,0.114286,neg
0,0.083333,0.375,0.375,0.166667,neg
0.107143,0,0.357143,0.464286,0.071429,neg
0.166667,0,0.333333,0.5,0,neg
0.090909,0,0.454545,0.181818,0.272727,neg
0.083333,0.083333,0.25,0.5,0.083333,neg
0.085714,0,0.342857,0.542857,0.028571,neg
0.095238,0.047619,0.428571,0.380952,0.047619,neg
0.03125,0,0.5625,0.15625,0.25,neg
0,0.095238,0.52381,0.285714,0.095238,neg
0.090909,0.045455,0.363636,0.454545,0.045455,neg
0.027027,0.135135,0.432432,0.27027,0.135135,neg
0,0.039216,0.470588,0.352941,0.137255,neg
0.030303,0.060606,0.545455,0.363636,0,neg
0.071429,0,0.357143,0.5,0.071429,neg
0.076923,0.038462,0.423077,0.384615,0.076923,neg
0.066667,0,0.4,0.466667,0.066667,neg
0.066667,0.022222,0.333333,0.488889,0.088889,neg
0,0,0.4,0.5,0.1,neg
0.060606,0.030303,0.515152,0.393939,0,neg
0.086957,0.043478,0.434783,0.434783,0,neg
0,0.033333,0.4,0.4,0.166667,neg
0.076923,0.038462,0.384615,0.307692,0.192308,neg
0,0.1,0.4,0.5,0,neg
0,0,0.444444,0.333333,0.222222,neg
0.02439,0.04878,0.512195,0.292683,0.121951,neg
0,0.125,0.625,0.25,0,neg
0,0.111111,0.555556,0.166667,0.166667,neg
0.022727,0.068182,0.431818,0.363636,0.113636,neg
0,0.071429,0.428571,0.25,0.25,neg
0,0.081081,0.351351,0.486486,0.081081,neg
0.222222,0,0.277778,0.5,0,neg
0,0,0.464286,0.357143,0.178571,neg
0,0.04,0.6,0.16,0.2,neg
0.041667,0.083333,0.333333,0.333333,0.208333,neg
0.066667,0,0.4,0.533333,0,neg
0,0,0.222222,0.777778,0,neg
0.013699,0.109589,0.479452,0.219178,0.178082,neg
0,0,0.4,0.6,0,neg
0.066667,0.066667,0.4,0.466667,0,neg
0.071429,0,0.571429,0.357143,0,neg
0.142857,0,0.357143,0.428571,0.071429,neg
0.111111,0,0.444444,0.444444,0,neg
0,0,0.285714,0.714286,0,neg
0.066667,0,0.333333,0.333333,0.266667,neg
0,0,0.5,0.25,0.25,neg
0.071429,0,0.285714,0.642857,0,neg
0,0.125,0.3125,0.375,0.1875,neg
0,0.037037,0.407407,0.444444,0.111111,neg
0.047619,0,0.428571,0.380952,0.142857,neg
0,0,0.625,0.125,0.25,neg
0.022222,0,0.444444,0.355556,0.177778,neg
0,0.181818,0.5,0.181818,0.136364,neg
0.071429,0,0.357143,0.428571,0.142857,neg
0.037037,0.037037,0.37037,0.444444,0.111111,neg
0,0.041667,0.458333,0.5,0,neg
0.022222,0.022222,0.511111,0.288889,0.155556,neg
0,0,0.166667,0.833333,0,neg
0,0.081081,0.351351,0.486486,0.081081,neg
0.105263,0,0.263158,0.631579,0,neg
0.052632,0.105263,0.210526,0.421053,0.210526,neg
0,0,0,1,0,neg
0.027778,0.027778,0.472222,0.333333,0.138889,neg
0,0.039216,0.529412,0.392157,0.039216,neg
0.038462,0.076923,0.230769,0.538462,0.115385,neg
0.170732,0.073171,0.195122,0.512195,0.04878,neg
0,0,0.533333,0.133333,0.333333,neg
0.105263,0,0.315789,0.578947,0,neg
0.04,0.04,0.4,0.4,0.12,neg
0,0,0.6,0.25,0.15,neg
0,0,0.47619,0.47619,0.047619,neg
0.111111,0,0.333333,0.388889,0.166667,neg
0.2,0,0.266667,0.4,0.133333,neg
0.166667,0.083333,0.25,0.5,0,neg
0,0,0.666667,0.242424,0.090909,neg
0,0,0.285714,0.714286,0,neg
0,0,0.375,0.5,0.125,neg
0.074074,0.037037,0.444444,0.407407,0.037037,neg
0.043478,0.043478,0.521739,0.304348,0.086957,neg
0.034483,0,0.551724,0.344828,0.068966,neg
0,0.058824,0.411765,0.529412,0,neg
0.090909,0.045455,0.227273,0.545455,0.090909,neg
0,0,0.666667,0.222222,0.111111,neg
0.088235,0.029412,0.352941,0.441176,0.088235,neg
0,0.071429,0.357143,0.428571,0.142857,neg
0.090909,0.090909,0.272727,0.454545,0.090909,neg
0.083333,0,0.5,0.25,0.166667,neg
0.032258,0.129032,0.290323,0.451613,0.096774,neg
0,0.105263,0.526316,0.210526,0.157895,neg
0.054054,0,0.378378,0.432432,0.135135,neg
0,0.034483,0.448276,0.344828,0.172414,neg
0.032258,0.032258,0.516129,0.387097,0.032258,neg
0.055556,0.083333,0.444444,0.305556,0.111111,neg
0,0,0.722222,0.055556,0.222222,neg
0.076923,0,0.461538,0.346154,0.115385,neg
0.058824,0.176471,0.352941,0.235294,0.176471,neg
0,0,0.625,0.375,0,neg
0.03125,0,0.53125,0.34375,0.09375,neg
0,0.090909,0.545455,0.363636,0,neg
0,0.111111,0.444444,0.333333,0.111111,neg
0.090909,0,0.272727,0.363636,0.272727,neg
0.055556,0.027778,0.305556,0.472222,0.138889,neg
0.066667,0,0.4,0.4,0.133333,neg
0.142857,0,0.285714,0.571429,0,neg
0.027778,0.055556,0.333333,0.333333,0.25,neg
0.025641,0.025641,0.333333,0.461538,0.153846,neg
0,0.1,0.433333,0.3,0.166667,neg
0,0.0625,0.5625,0.25,0.125,neg
0,0.076923,0.307692,0.461538,0.153846,neg
0.04,0.04,0.44,0.4,0.08,neg
0,0,0.25,0.75,0,neg
0.090909,0,0.545455,0.272727,0.090909,neg
0.081633,0.040816,0.367347,0.367347,0.142857,neg
0,0,0.2,0.7,0.1,neg
0,0.038462,0.5,0.346154,0.115385,neg
0.045455,0.022727,0.386364,0.318182,0.227273,neg
0.038462,0.038462,0.653846,0.115385,0.153846,neg
0,0,0.384615,0.461538,0.153846,neg
0.1,0.1,0.4,0.3,0.1,neg
0.083333,0,0.416667,0.25,0.25,neg
0.027027,0,0.675676,0.297297,0,neg
0,0,0.555556,0.444444,0,neg
0,0,0.481481,0.185185,0.333333,neg
0.060606,0.090909,0.454545,0.363636,0.030303,neg
0,0.04,0.68,0.2,0.08,neg
0.045455,0.045455,0.409091,0.5,0,neg
0,0,0.222222,0.666667,0.111111,neg
0.071429,0,0.5,0.357143,0.071429,neg
0,0,0.230769,0.769231,0,neg
0,0.076923,0.538462,0.230769,0.153846,neg
0.071429,0,0.321429,0.357143,0.25,neg
0,0.076923,0.461538,0.384615,0.076923,neg
0,0.027778,0.583333,0.277778,0.111111,neg
0,0,0.6,0.2,0.2,neg
0.070175,0.017544,0.385965,0.508772,0.017544,neg
0.021277,0.06383,0.425532,0.148936,0.340426,neg
0,0,0.5,0.5,0,neg
0.027027,0.027027,0.189189,0.621622,0.135135,neg
0.111111,0.111111,0.388889,0.333333,0.055556,neg
0.09375,0,0.34375,0.46875,0.09375,neg
0.071429,0.035714,0.714286,0.178571,0,neg
0,0.076923,0.692308,0.153846,0.076923,neg
0.074074,0.037037,0.37037,0.444444,0.074074,neg
0,0,0.466667,0.4,0.133333,neg
0,0,0.333333,0.533333,0.133333,neg
0.071429,0,0.571429,0.214286,0.142857,neg
0,0.055556,0.444444,0.444444,0.055556,neg
0.166667,0,0.125,0.666667,0.041667,neg
0.0625,0.03125,0.46875,0.3125,0.125,neg
0,0.130435,0.391304,0.391304,0.086957,neg
0.068966,0,0.37931,0.448276,0.103448,neg
0,0,0.421053,0.578947,0,neg
0.230769,0.076923,0.307692,0.384615,0,neg
0.1,0.05,0.35,0.35,0.15,neg
0,0,0.5,0.5,0,neg
0,0.038462,0.538462,0.346154,0.076923,neg
0,0,0.47619,0.47619,0.047619,neg
0.021739,0.108696,0.543478,0.23913,0.086957,neg
0.085106,0,0.531915,0.340426,0.042553,neg
0.035714,0.071429,0.535714,0.196429,0.160714,neg
0,0.21875,0.5625,0.03125,0.1875,neg
0,0,0.666667,0.041667,0.291667,neg
0.105263,0.052632,0.447368,0.342105,0.052632,neg
0.058824,0.058824,0.411765,0.411765,0.058824,neg
0,0.133333,0.466667,0.4,0,neg
0.090909,0,0.272727,0.636364,0,neg
0.090909,0,0.636364,0.181818,0.090909,neg
0.066667,0.066667,0.266667,0.6,0,neg
0.121951,0.02439,0.317073,0.487805,0.04878,neg
0,0,0.757576,0.212121,0.030303,neg
0.130435,0,0.130435,0.73913,0,neg
0.040816,0.061224,0.326531,0.489796,0.081633,neg
0,0,0.717391,0.217391,0.065217,neg
0,0.066667,0.433333,0.3,0.2,neg
0.02439,0,0.487805,0.317073,0.170732,neg
0.125,0,0.21875,0.65625,0,neg
0,0.233333,0.433333,0.1,0.233333,neg
0.037037,0,0.407407,0.407407,0.148148,neg
0.157895,0,0.473684,0.315789,0.052632,neg
0.071429,0.035714,0.321429,0.5,0.071429,neg
0,0,0.636364,0.272727,0.090909,neg
0,0.111111,0.416667,0.416667,0.055556,neg
0.078947,0.026316,0.473684,0.210526,0.210526,neg
0,0.03125,0.40625,0.375,0.1875,neg
0,0,0.686275,0.215686,0.098039,neg
0,0.055556,0.666667,0.222222,0.055556,neg
0.071429,0,0.464286,0.321429,0.142857,neg
0.222222,0,0.222222,0.444444,0.111111,neg
0.060606,0.151515,0.484848,0.30303,0,neg
0.178571,0,0.25,0.535714,0.035714,neg
0,0.074074,0.333333,0.592593,0,neg
0,0,0.333333,0.666667,0,neg
0.045455,0,0.227273,0.363636,0.363636,neg
0,0,0.642857,0.357143,0,neg
0,0.035714,0.642857,0.214286,0.107143,neg
0,0,0.714286,0.214286,0.071429,neg
0,0,0.714286,0.142857,0.142857,neg
0.1,0,0.25,0.625,0.025,neg
0.028571,0.028571,0.428571,0.428571,0.085714,neg
0,0.043478,0.608696,0.347826,0,neg
0.095238,0,0.52381,0.285714,0.095238,neg
0,0.125,0.5,0.25,0.125,neg
0.0625,0,0.25,0.5625,0.125,neg
0,0.055556,0.666667,0.222222,0.055556,neg
0,0,0.5,0.5,0,neg
0.333333,0,0.166667,0.444444,0.055556,neg
0,0,0.833333,0.166667,0,neg
0.035714,0.107143,0.607143,0.142857,0.107143,neg
0,0,0.428571,0.428571,0.142857,neg
0,0,0.625,0.3125,0.0625,neg
0.057143,0.057143,0.285714,0.571429,0.028571,neg
0,0,0.521739,0.217391,0.26087,neg
0,0,0.419355,0.322581,0.258065,neg
0,0,0.529412,0.411765,0.058824,neg
0.043478,0,0.521739,0.26087,0.173913,neg
0,0,0.6,0.3,0.1,neg
0,0.0625,0.375,0.4375,0.125,neg
0,0,0.25,0.75,0,neg
0.075,0.025,0.45,0.4,0.05,neg
0.058824,0,0.470588,0.235294,0.235294,neg
0.153846,0,0.333333,0.384615,0.128205,neg
0.041667,0,0.458333,0.416667,0.083333,neg
0.166667,0,0.166667,0.666667,0,neg
0.043478,0.043478,0.347826,0.521739,0.043478,neg
0,0,0.555556,0.222222,0.222222,neg
0.075,0.025,0.35,0.35,0.2,neg
0,0,0.647059,0.352941,0,neg
0.074074,0,0.481481,0.296296,0.148148,neg
0.058824,0,0.235294,0.647059,0.058824,neg
0.047619,0,0.47619,0.333333,0.142857,neg
0,0.0625,0.5,0.375,0.0625,neg
0,0.146341,0.439024,0.170732,0.243902,neg
0,0,0.454545,0.545455,0,neg
0.090909,0.136364,0.318182,0.363636,0.090909,neg
0.026316,0.105263,0.526316,0.315789,0.026316,neg
0.030303,0,0.393939,0.484848,0.090909,neg
0.03125,0.03125,0.3125,0.625,0,neg
0.090909,0,0.545455,0.181818,0.181818,neg
0,0,0.363636,0.636364,0,neg
0,0,0.555556,0.444444,0,neg
0,0,0.571429,0.261905,0.166667,neg
0.02381,0,0.52381,0.309524,0.142857,neg
0.052632,0.026316,0.657895,0.184211,0.078947,neg
0.111111,0,0.388889,0.5,0,neg
0,0.090909,0.409091,0.409091,0.090909,neg
0,0,0.409091,0.454545,0.136364,neg
0,0.038462,0.461538,0.307692,0.192308,neg
0.052632,0,0.5,0.236842,0.210526,neg
0.208333,0,0.25,0.541667,0,neg
0.153846,0,0.153846,0.692308,0,neg
0.058824,0,0.294118,0.588235,0.058824,neg
0,0,0.352941,0.529412,0.117647,neg
0,0,0.615385,0.384615,0,neg
0,0,0.277778,0.5,0.222222,neg
0,0.071429,0.642857,0.285714,0,neg
0,0.058824,0.588235,0.294118,0.058824,neg
0.083333,0,0.416667,0.416667,0.083333,neg
0.130435,0.021739,0.413043,0.369565,0.065217,neg
0.03125,0.0625,0.34375,0.53125,0.03125,neg
0,0,0.388889,0.611111,0,neg
0.074074,0.074074,0.37037,0.37037,0.111111,neg
0,0,0.545455,0.181818,0.272727,neg
?,?,?,?,?,neg
0.02381,0.095238,0.404762,0.261905,0.214286,neg
0.1,0,0.5,0.3,0.1,neg
0.111111,0,0.333333,0.333333,0.222222,neg
0.1,0.1,0.4,0.4,0,neg
0.037037,0.037037,0.518519,0.333333,0.074074,neg
0.08,0.12,0.44,0.32,0.04,neg
0,0,0.666667,0.277778,0.055556,neg
0.027778,0,0.388889,0.5,0.083333,neg
0,0.076923,0.384615,0.307692,0.230769,neg
0.047619,0.047619,0.380952,0.428571,0.095238,neg
0.035714,0.071429,0.535714,0.285714,0.071429,neg
0,0.105263,0.368421,0.526316,0,neg
0,0.083333,0.416667,0.333333,0.166667,neg
0.15,0,0.25,0.6,0,neg
0.058824,0.058824,0.470588,0.411765,0,neg
0,0,0.666667,0.25,0.083333,neg
0.142857,0,0.428571,0.428571,0,neg
0.032258,0.032258,0.354839,0.387097,0.193548,neg
0.055556,0.055556,0.611111,0.277778,0,neg
0,0.058824,0.509804,0.254902,0.176471,neg
0,0,0.285714,0.666667,0.047619,neg
0,0,0.307692,0.615385,0.076923,neg
0,0.034483,0.551724,0.310345,0.103448,neg
0.04,0.04,0.28,0.56,0.08,neg
0,0.027778,0.611111,0.361111,0,neg
0.111111,0,0.555556,0.333333,0,neg
0.073171,0.02439,0.439024,0.390244,0.073171,neg
0.090909,0.090909,0.363636,0.454545,0,neg
0.071429,0,0.428571,0.428571,0.071429,neg
0,0.047619,0.52381,0.285714,0.142857,neg
0.043478,0.043478,0.478261,0.304348,0.130435,neg
0.148148,0.037037,0.222222,0.592593,0,neg
0.042553,0,0.382979,0.404255,0.170213,neg
0,0,0.466667,0.466667,0.066667,neg
0,0.25,0.5,0.142857,0.107143,neg
0.090909,0,0.363636,0.363636,0.181818,neg
0.142857,0,0.285714,0.571429,0,neg
0.034483,0.068966,0.586207,0.275862,0.034483,neg
0.1,0,0.3,0.5,0.1,neg
0.058824,0,0.294118,0.588235,0.058824,neg
0.1,0,0.5,0.4,0,neg
0.027778,0,0.527778,0.194444,0.25,neg
0,0.05,0.25,0.65,0.05,neg
0.076923,0,0.461538,0.461538,0,neg
0.083333,0,0.166667,0.666667,0.083333,neg
0.029412,0.088235,0.617647,0.205882,0.058824,neg
0,0.1,0.433333,0.366667,0.1,neg
0.085714,0.085714,0.314286,0.485714,0.028571,neg
0.133333,0,0.333333,0.333333,0.2,neg
0.181818,0,0.136364,0.681818,0,neg
0.021739,0.065217,0.73913,0.130435,0.043478,neg
0.076923,0,0.230769,0.538462,0.153846,neg
0.111111,0,0.388889,0.333333,0.166667,neg
0.045455,0,0.272727,0.636364,0.045455,neg
0,0,0.736842,0.210526,0.052632,neg
0.114286,0.028571,0.371429,0.257143,0.228571,neg
0,0,0.333333,0.666667,0,neg
0,0.08,0.32,0.52,0.08,neg
0.074074,0,0.37037,0.444444,0.111111,neg
0,0.05,0.5,0.45,0,neg
0,0.166667,0.5,0.222222,0.111111,neg
0.142857,0,0.285714,0.47619,0.095238,neg
0,0.026316,0.421053,0.394737,0.157895,neg
0.041667,0.041667,0.416667,0.25,0.25,neg
0.117647,0.058824,0.235294,0.470588,0.117647,neg
0.027027,0.027027,0.567568,0.162162,0.216216,neg
0,0.153846,0.307692,0.461538,0.076923,neg
0.027027,0,0.216216,0.594595,0.162162,neg
0.125,0.041667,0.458333,0.333333,0.041667,neg
0,0.2,0.44,0.12,0.24,neg
0,0,0.8,0.1,0.1,neg
0,0,0.428571,0.571429,0,neg
0.045455,0.045455,0.5,0.318182,0.090909,neg
